ID,Label,Type,Graph Source
1,Gustav Abb,Subject,Graph A
2,Gustav Abb,Subject,Graph A
3,Gustav Abb,Subject,Graph A
4,Abels brothers,Subject,Graph A
5,Abels brothers,Subject,Graph A
6,Abels brothers,Subject,Graph A
7,Otto Abetz,Subject,Graph A
8,Otto Abetz,Subject,Graph A
9,Otto Abetz,Subject,Graph A
10,Gert Adriani,Subject,Graph A
11,Gert Adriani,Subject,Graph A
12,Bono von Ahrendt,Subject,Graph A
13,Bono von Ahrendt,Subject,Graph A
14,Bono von Ahrendt,Subject,Graph A
15,Josef (Sepp) Angerer,Subject,Graph A
16,Josef (Sepp) Angerer,Subject,Graph A
17,Josef (Sepp) Angerer,Subject,Graph A
18,Josef (Sepp) Angerer,Subject,Graph A
19,Josef (Sepp) Angerer,Subject,Graph A
20,Josef (Sepp) Angerer,Subject,Graph A
21,Josef (Sepp) Angerer,Subject,Graph A
22,Josef (Sepp) Angerer,Subject,Graph A
23,Josef (Sepp) Angerer,Subject,Graph A
24,Josef (Sepp) Angerer,Subject,Graph A
25,Josef (Sepp) Angerer,Subject,Graph A
26,Josef (Sepp) Angerer,Subject,Graph A
27,Josef (Sepp) Angerer,Subject,Graph A
28,Hans Joachim Apfelstaedt,Subject,Graph A
29,Hans Joachim Apfelstaedt,Subject,Graph A
30,Hans Joachim Apfelstaedt,Subject,Graph A
31,Hans Joachim Apfelstaedt,Subject,Graph A
32,Hans Joachim Apfelstaedt,Subject,Graph A
33,Hans Joachim Apfelstaedt,Subject,Graph A
34,Hermann Breslau,Subject,Graph A
35,Hermann Breslau,Subject,Graph A
36,Hermann Breslau,Subject,Graph A
37,Hermann Breslau,Subject,Graph A
38,Augsburg,Subject,Graph A
39,AWAG,Subject,Graph A
40,AWAG,Subject,Graph A
41,AWAG,Subject,Graph A
42,Kurt Walter Bachstitz,Subject,Graph A
43,Kurt Walter Bachstitz,Subject,Graph A
44,Kurt Walter Bachstitz,Subject,Graph A
45,Kurt Walter Bachstitz,Subject,Graph A
46,Kurt Walter Bachstitz,Subject,Graph A
47,Kurt Walter Bachstitz,Subject,Graph A
48,Badels,Subject,Graph A
49,Alfred Baeumler,Subject,Graph A
50,Alfred Baeumler,Subject,Graph A
51,Alfred Baeumler,Subject,Graph A
52,Hans Bammann,Subject,Graph A
53,Hans Bammann,Subject,Graph A
54,Hans Bammann,Subject,Graph A
55,Hans Bammann,Subject,Graph A
56,Hans Bammann,Subject,Graph A
57,Hans Bammann,Subject,Graph A
58,Hans Bammann,Subject,Graph A
59,Hans Bammann,Subject,Graph A
60,E Friedrich Bange,Subject,Graph A
61,E Friedrich Bange,Subject,Graph A
62,E Friedrich Bange,Subject,Graph A
63,Baron,Subject,Graph A
64,Gustav Bartel,Subject,Graph A
65,Gustav Bartel,Subject,Graph A
66,Gustav Bartel,Subject,Graph A
67,Gustav Bartel,Subject,Graph A
68,Gustav Bartel,Subject,Graph A
69,Wolf Graf von Baudissin,Subject,Graph A
70,Wolf Graf von Baudissin,Subject,Graph A
71,Max Bauer,Subject,Graph A
